Date,Close,Open,High,Low,Volume,Fluctuation
20060413,1093.92 ,1116.84 ,1122.39 ,1093.51 ,33820.00 ,-0.0207 
20060414,1118.61 ,1091.69 ,1118.66 ,1091.67 ,33530.00 ,0.0226 
20060417,1124.41 ,1120.19 ,1129.15 ,1114.53 ,35710.00 ,0.0052 
20060418,1131.28 ,1127.51 ,1135.45 ,1119.27 ,32320.00 ,0.0061 
20060419,1138.24 ,1135.61 ,1140.41 ,1125.20 ,34320.00 ,0.0062 
20060420,1134.38 ,1139.64 ,1142.54 ,1127.09 ,37890.00 ,-0.0034 
20060421,1149.16 ,1133.20 ,1152.89 ,1127.65 ,40770.00 ,0.0130 
20060424,1142.70 ,1156.91 ,1160.58 ,1135.75 ,45940.00 ,-0.0056 
20060425,1141.93 ,1139.49 ,1149.54 ,1123.10 ,38610.00 ,-0.0007 
20060426,1155.73 ,1142.90 ,1162.02 ,1142.07 ,41820.00 ,0.0121 
20060427,1155.27 ,1157.38 ,1159.90 ,1145.26 ,31980.00 ,-0.0004 
20060428,1172.35 ,1143.59 ,1173.88 ,1133.19 ,40800.00 ,0.0148 
20060508,1218.44 ,1179.58 ,1218.86 ,1179.58 ,44910.00 ,0.0393 
20060509,1251.61 ,1226.32 ,1252.76 ,1222.68 ,55990.00 ,0.0272 
20060510,1265.93 ,1257.98 ,1273.68 ,1243.47 ,55670.00 ,0.0114 
20060511,1255.04 ,1267.22 ,1294.87 ,1254.35 ,61130.00 ,-0.0086 
20060512,1296.26 ,1255.23 ,1296.38 ,1252.68 ,54920.00 ,0.0328 
20060515,1352.15 ,1312.14 ,1352.41 ,1301.80 ,73530.00 ,0.0431 
