Ntime,Open_us,High_us,Low_us,ClosePrice,AdjClose,Volume_us,Date,Close_cn,Open_cn,High_cn,Low_cn,Volume_cn,Fluctuation
20050602,1191.5,1205.640015,1191.030029,1202.219971,1202.219971,1810100000,20050602,818.38,835.47,835.49,812.99,9510,-0.0229
20050603,1202.27002,1204.670044,1198.420044,1204.290039,1204.290039,1813790000,20050603,818.03,816.55,823.86,807.97,7940,-0.0004
20050607,1196.02002,1198.780029,1192.75,1197.51001,1197.51001,1547120000,20050607,837.28,841.58,858.09,835.18,13070,-0.0021
20050608,1197.51001,1208.849976,1197.26001,1197.26001,1197.26001,1851370000,20050608,905.77,848.54,908.83,844.47,32910,0.0818
20050609,1197.26001,1201.969971,1193.329956,1194.670044,1194.670044,1715490000,20050609,912.6,907.57,925.37,895.04,33140,0.0075
20050610,1194.670044,1201.859985,1191.089966,1200.930054,1200.930054,1824120000,20050610,894.56,911.94,911.94,889.1,22390,-0.0198
20050614,1198.109985,1206.030029,1194.51001,1200.819946,1200.819946,1661350000,20050614,883.54,895.39,905.41,882.86,14340,-0.0105
20050615,1200.819946,1207.530029,1200.180054,1203.910034,1203.910034,1698150000,20050615,866.83,881.21,881.25,865.14,11450,-0.0189
20050616,1203.910034,1208.079956,1198.660034,1206.579956,1206.579956,1840440000,20050616,879.24,866.66,879.49,861.83,11050,0.0143
20050617,1206.550049,1212.099976,1205.469971,1210.959961,1210.959961,1776040000,20050617,880.35,883.61,888.08,876.04,14960,0.0013
20050621,1216.959961,1219.099976,1210.650024,1216.099976,1216.099976,1714530000,20050621,896.17,906.31,906.31,894.39,12780,-0.0111
20050622,1216.099976,1217.130005,1211.859985,1213.609985,1213.609985,1720700000,20050622,900.65,894.77,901.24,891.93,10480,0.005
20050623,1213.609985,1219.589966,1211.689941,1213.880005,1213.880005,1823250000,20050623,893.57,900.06,904.9,892.83,9510,-0.0079
20050624,1213.880005,1216.449951,1200.719971,1200.72998,1200.72998,2029920000,20050624,898.3,892.06,898.67,888.4,8920,0.0053
20050628,1191.569946,1194.329956,1188.300049,1190.689941,1190.689941,1738620000,20050628,903.72,913.48,913.48,901.21,10400,-0.0134
20050629,1190.689941,1202.540039,1190.689941,1201.569946,1201.569946,1772410000,20050629,898.9,906.75,907.57,898.08,10810,-0.0053
20050630,1201.569946,1204.069946,1198.699951,1199.849976,1199.849976,1769280000,20050630,878.69,897.1,897.1,876.88,10860,-0.0225
20050706,1194.439941,1206.339966,1192.48999,1204.98999,1204.98999,1805820000,20050706,842.56,850.25,854.45,838.61,6900,-0.0084
20050707,1204.98999,1206.109985,1194.780029,1194.939941,1194.939941,1883470000,20050707,844.73,841.75,848.02,839.28,5960,0.0026
20050708,1194.939941,1198.459961,1183.550049,1197.869995,1197.869995,1952440000,20050708,829.49,842.62,842.62,827.23,7220,-0.018
20050712,1211.859985,1220.030029,1211.859985,1219.439941,1219.439941,1846300000,20050712,851.82,821.91,854.29,818.86,14990,0.0336
20050713,1219.439941,1225.540039,1216.599976,1222.209961,1222.209961,1932010000,20050713,846.23,850.47,851.95,841.86,9400,-0.0066
20050714,1222.209961,1224.459961,1219.640015,1223.290039,1223.290039,1812500000,20050714,849.59,844.94,856.1,843.18,9360,0.004
20050715,1223.290039,1233.160034,1223.290039,1226.5,1226.5,2048710000,20050715,841,849.87,854.6,837.78,8890,-0.0101
20050719,1227.920044,1227.920044,1221.130005,1221.130005,1221.130005,1582100000,20050719,835.61,831.5,840.14,829.28,7890,0.0031
20050720,1221.130005,1230.339966,1221.130005,1229.349976,1229.349976,2041280000,20050720,842.64,835.3,844.71,832.14,8530,0.0084
20050721,1229.349976,1236.560059,1222.910034,1235.199951,1235.199951,2063340000,20050721,843.99,842.75,843.99,835.76,8370,0.0016
20050722,1235.199951,1235.829956,1224.699951,1227.040039,1227.040039,2129840000,20050722,859.69,847.54,867.16,842.99,21320,0.0186
20050726,1233.680054,1238.359985,1228.150024,1229.030029,1229.030029,1717580000,20050726,876.48,856.19,880.03,856.19,21830,0.0229
20050727,1229.030029,1234.420044,1229.030029,1231.160034,1231.160034,1934180000,20050727,894.01,876.94,894.03,876.04,20410,0.02
20050728,1231.160034,1237.640015,1230.150024,1236.790039,1236.790039,1945800000,20050728,890.88,893.88,901,888.5,20620,-0.0035
20050729,1236.790039,1245.150024,1235.810059,1243.719971,1243.719971,2001680000,20050729,888.16,889.41,892.29,883.38,13400,-0.0031
20050802,1234.180054,1239.099976,1233.800049,1235.349976,1235.349976,1716870000,20050802,903.6,892.13,903.65,888.4,14290,0.0134
20050803,1235.349976,1244.689941,1235.349976,1244.119995,1244.119995,2043120000,20050803,909.57,905.18,919.28,903.76,25790,0.0066
20050804,1244.119995,1245.859985,1240.569946,1245.040039,1245.040039,1999980000,20050804,904.15,907.42,909.83,901.62,14520,-0.006
20050805,1245.040039,1245.040039,1235.150024,1235.859985,1235.859985,1981220000,20050805,923.8,904.04,923.81,903.94,19120,0.0217
20050809,1226.420044,1232.280029,1222.670044,1223.130005,1223.130005,1804140000,20050809,933.09,926.97,933.39,919.11,19530,0.0061
20050810,1223.130005,1234.109985,1223.130005,1231.380005,1231.380005,1897520000,20050810,940.37,933.26,940.37,926.27,21520,0.0078
20050811,1231.380005,1242.689941,1226.579956,1229.130005,1229.130005,2172320000,20050811,953.99,940.78,953.99,939.39,27070,0.0145
20050812,1229.130005,1237.810059,1228.329956,1237.810059,1237.810059,1941560000,20050812,938.32,954.72,959.27,933.99,29170,-0.0164
20050816,1230.400024,1236.23999,1226.199951,1233.869995,1233.869995,1562880000,20050816,945.06,955.27,959.34,939.92,23860,-0.0099
20050817,1233.869995,1233.869995,1219.050049,1219.339966,1219.339966,1820410000,20050817,953.01,943.4,953.34,930.33,21460,0.0084
20050818,1219.339966,1225.630005,1218.069946,1220.23999,1220.23999,1859150000,20050818,920.67,954.15,956.84,919.12,31860,-0.0339
20050819,1220.23999,1222.640015,1215.930054,1219.02002,1219.02002,1808170000,20050819,923.04,918.09,927.32,910.08,22240,0.0026
20050823,1219.709961,1228.959961,1216.469971,1221.72998,1221.72998,1621330000,20050823,923.41,931.81,931.81,915.03,15410,-0.0089
20050824,1221.72998,1223.040039,1214.439941,1217.589966,1217.589966,1678620000,20050824,930.65,923.56,935.23,923.56,15960,0.0078
20050825,1217.569946,1224.150024,1209.369995,1209.589966,1209.589966,1930800000,20050825,930.12,930.98,933.2,920.61,16290,-0.0006
20050826,1209.589966,1213.72998,1209.569946,1212.369995,1212.369995,1571110000,20050826,928.26,930.25,930.33,921.84,15430,-0.002
20050830,1205.099976,1214.280029,1201.530029,1212.280029,1212.280029,1599450000,20050830,914.88,916.09,920.21,912.84,12440,-0.0027
20050831,1212.280029,1212.280029,1201.069946,1208.410034,1208.410034,1916470000,20050831,927.92,915.12,928.21,911.5,14620,0.0143
20050902,1220.329956,1227.290039,1216.180054,1221.589966,1221.589966,2229860000,20050902,947.87,945.98,947.92,941.31,18610,0.0035
20050907,1218.02002,1233.609985,1218.02002,1233.390015,1233.390015,1932090000,20050907,952.76,934.99,952.9,932.65,19610,0.0172
20050908,1233.390015,1237.060059,1230.930054,1236.359985,1236.359985,2067700000,20050908,955.28,954.27,958.87,947.71,22420,0.0026
20050909,1236.359985,1236.359985,1229.51001,1231.670044,1231.670044,1955380000,20050909,949.07,955.11,959.9,946.02,16220,-0.0065
20050913,1241.47998,1242.599976,1239.150024,1240.560059,1240.560059,1938050000,20050913,963.77,949.58,963.92,948.13,16580,0.015
